,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,butaritari,100,KI,1640582852,75,3.0707,172.7902,28.07,5.05
1,ushuaia,75,AR,1640582750,57,-54.8,-68.3,8.81,6.17
2,keflavik,75,IS,1640582854,80,64.0049,-22.5624,-0.63,1.54
3,hermanus,51,ZA,1640582855,88,-34.4187,19.2345,17.72,3.69
4,saint-philippe,82,RE,1640582821,87,-21.3585,55.7679,27.75,5.84
5,ponta do sol,41,PT,1640582856,81,38.7333,-28.2667,15.05,16.07
6,dikson,79,RU,1640582857,85,73.5069,80.5464,-20.39,10.32
7,khatanga,45,RU,1640582857,100,71.9667,102.5,-37.37,1.45
8,hobart,20,AU,1640582858,54,-42.8794,147.3294,19.59,0.45
9,lavrentiya,17,RU,1640582741,83,65.5833,-171.0,-23.3,3.28
10,rikitea,100,PF,1640582859,84,-23.1203,-134.9692,24.34,10.23
11,agutaya,82,PH,1640582860,81,11.148,120.9417,26.95,11.5
12,yellowknife,20,CA,1640582861,75,62.456,-114.3525,-27.62,1.54
13,cape town,96,CL,1640582812,44,-36.413,-71.9028,19.68,3.07
14,egvekinot,26,RU,1640582862,86,66.3167,-179.1667,-27.47,3.47
15,torbay,90,CA,1640582863,93,47.6666,-52.7314,-0.24,6.17
16,gizo,99,SB,1640582864,73,-8.103,156.8419,28.83,2.72
17,bredasdorp,100,ZA,1640582816,88,-34.5322,20.0403,19.62,1.03
18,pastavy,54,BY,1640582865,94,55.1168,26.8326,-8.51,3.73
19,albany,18,US,1640582853,66,42.6001,-73.9662,0.97,3.13
20,kavieng,100,PG,1640582866,74,-2.5744,150.7967,28.82,1.53
21,haapiti,45,PF,1640582867,69,-17.5667,-149.8667,26.85,3.13
22,ixtapa,1,MX,1640582867,88,20.7,-105.2,21.24,1.03
23,ancud,57,CL,1640582868,96,-41.8697,-73.8203,13.74,2.0
24,aykhal,83,RU,1640582869,99,66.0,111.5,-29.55,3.69
25,pevek,100,RU,1640582870,98,69.7008,170.3133,-28.62,0.5
26,kapaa,1,US,1640582871,74,22.0752,-159.319,23.99,0.89
27,sulangan,49,PH,1640582872,77,11.1373,123.7228,27.27,6.5
28,trairi,99,BR,1640582602,88,-3.2778,-39.2689,24.9,2.58
29,busselton,58,AU,1640582873,27,-33.65,115.3333,34.69,4.36
30,venado tuerto,2,MX,1640582874,34,22.9333,-101.0833,14.99,1.19
31,siyabuswa,99,ZA,1640582875,89,-25.1132,29.0445,19.15,2.73
32,bluff,48,NZ,1640582875,60,-46.6,168.3333,14.33,4.53
33,yulara,0,AU,1640582876,14,-25.2406,130.9889,35.91,6.69
34,namatanai,79,PG,1640582591,66,-3.6667,152.4333,30.13,3.73
35,salinas,90,US,1640582878,73,36.6777,-121.6555,10.46,3.09
36,tura,46,IN,1640582879,36,25.5198,90.2201,22.3,1.23
37,cidreira,1,BR,1640582879,85,-30.1811,-50.2056,20.54,0.99
38,lebu,89,CL,1640582880,91,-37.6167,-73.65,14.23,7.65
39,springbok,37,ZA,1640582881,81,-29.6643,17.8865,12.4,2.74
40,thinadhoo,34,MV,1640582882,71,0.5333,72.9333,27.3,5.47
41,tateyama,42,JP,1640582882,39,34.9833,139.8667,7.86,3.56
42,hammerfest,20,NO,1640582883,79,70.6634,23.6821,-6.75,1.54
43,vaini,75,TO,1640582884,94,-21.2,-175.2,26.09,1.03
44,komsomolskiy,90,UZ,1640582885,86,40.4272,71.7189,0.4,1.03
45,san quintin,99,ML,1640582885,15,13.3034,-4.8956,21.75,3.79
46,alzamay,94,RU,1640582886,85,55.5562,98.6644,-15.47,1.41
47,ous,100,RU,1640582887,96,60.9058,61.5186,-13.63,2.51
48,kajiado,82,KE,1640582887,87,-1.8524,36.7768,15.94,3.81
49,norwich,90,GB,1640582888,96,52.6278,1.2983,7.46,0.45
50,new norfolk,72,LR,1640582889,97,6.6518,-10.5932,24.57,1.2
51,castro,71,BR,1640582890,74,-24.7911,-50.0119,16.81,1.1
52,jamestown,90,US,1640582586,79,42.097,-79.2353,0.62,1.79
53,yanam,2,IN,1640582891,52,16.7333,82.2167,27.22,2.32
54,tezu,99,IN,1640582715,34,27.9167,96.1667,20.83,1.22
55,chokurdakh,100,RU,1640582892,99,70.6333,147.9167,-31.6,2.08
56,port alfred,100,CD,1640582804,77,-7.0349,29.7638,23.58,1.58
57,warri,31,NG,1640582893,90,5.5167,5.75,24.62,0.93
58,saint-pierre,90,RE,1640582894,90,-21.3393,55.4781,27.8,7.72
59,puerto carreno,75,ES,1640582895,98,36.5939,-6.233,17.36,3.6
60,barguzin,92,RU,1640582896,96,53.6167,109.6167,-12.25,0.48
61,leshukonskoye,100,RU,1640582896,98,64.8989,45.7622,-15.77,1.0
62,vila velha,87,PT,1640582897,94,42.0304,-8.1588,9.63,4.9
63,bose,58,IT,1640582898,88,45.4612,8.0137,4.85,1.36
64,carutapera,97,BR,1640582899,93,-1.195,-46.02,24.59,2.42
65,urusha,43,RU,1640582899,70,54.05,122.9,-17.92,1.52
66,letka,100,RU,1640582900,95,59.6011,49.4232,-13.1,2.92
67,ribeira grande,75,ES,1640582901,94,42.7461,-8.4439,15.37,5.66
68,hasaki,0,JP,1640582902,25,35.7333,140.8333,9.05,6.22
69,arraial do cabo,5,BR,1640582903,75,-22.8362,-46.646,21.67,1.84
70,ugoofaaru,15,MV,1640582903,65,5.6667,73.0,27.49,6.31
71,saskylakh,60,RU,1640582904,98,71.9167,114.0833,-31.45,2.82
72,lata,42,PT,1640582905,96,40.1629,-8.3327,16.07,2.52
73,samarai,60,PG,1640582906,72,-10.6167,150.6667,29.53,3.56
74,bengkulu,80,ID,1640582907,66,-3.8004,102.2655,29.61,3.64
75,leningradskiy,42,RU,1640582908,94,69.3833,178.4167,-33.35,2.67
76,majene,100,ID,1640582909,72,-3.5403,118.9707,28.22,5.22
77,pauini,100,BR,1640582910,83,-7.7136,-66.9764,25.91,1.21
78,verkhoyansk,100,RU,1640582911,100,67.5447,133.385,-37.55,0.85
79,rawson,0,AR,1640582911,49,-43.3002,-65.1023,20.77,5.89
80,bethel,1,US,1640582912,66,41.3712,-73.414,3.91,1.34
81,darovskoy,99,RU,1640582913,97,58.77,47.9564,-12.88,2.13
82,geraldton,98,AU,1640582869,28,-28.7667,114.6,36.23,7.2
83,hualmay,82,PE,1640582915,85,-11.0964,-77.6139,19.99,3.45
84,tazovskiy,81,RU,1640582916,87,67.4667,78.7,-21.0,6.98
85,shingu,63,JP,1640582778,52,33.7333,135.9833,6.55,6.4
86,maningrida,100,AU,1640582759,78,-12.0667,134.2667,28.88,9.74
87,thompson,90,CA,1640582918,76,55.7435,-97.8558,-30.91,1.54
88,tasiilaq,4,GL,1640582813,62,65.6145,-37.6368,-9.91,1.91
89,college,75,US,1640582919,93,64.8569,-147.8028,5.81,0.0
90,ikalamavony,77,MG,1640582920,65,-21.15,46.5833,25.45,1.91
91,nador,0,MA,1640582920,67,35.174,-2.9287,16.04,2.06
92,pisco,0,PE,1640582921,94,-13.7,-76.2167,19.03,3.6
93,ambilobe,100,MG,1640582923,53,-13.2,49.05,29.35,2.43
94,klaksvik,100,FO,1640582923,96,62.2266,-6.589,5.51,11.98
95,san jeronimo,99,ML,1640582885,15,13.3034,-4.8956,21.75,3.79
96,coburg,100,DE,1640582892,97,50.2667,10.9667,2.32,1.34
97,salalah,20,OM,1640582926,69,17.0151,54.0924,24.05,1.54
98,yurginskoye,100,RU,1640582928,93,56.8189,67.3921,-10.99,7.64
99,port-cartier,87,CA,1640582928,90,50.0334,-66.8654,-2.88,2.92
100,lompoc,1,US,1640582929,84,34.6391,-120.4579,7.85,0.0
101,puerto ayora,75,ES,1640582930,98,36.5939,-6.233,17.36,3.6
102,luderitz,14,NA,1640582931,83,-26.6481,15.1594,17.4,2.88
103,boyolangu,74,ID,1640582932,62,-8.1181,111.8935,30.96,4.3
104,moville,80,US,1640582933,88,42.4889,-96.0725,3.06,2.77
105,avarua,20,CK,1640582685,73,-21.2078,-159.775,25.03,3.09
106,auki,95,SB,1640582934,73,-8.7676,160.7034,29.12,3.21
107,okhotsk,1,RU,1640582934,82,59.3833,143.3,-28.34,7.6
108,mar del plata,20,ES,1640582935,74,43.4002,-4.0094,14.45,1.34
109,cockburn town,0,AU,1640582780,14,-32.0833,141.0,27.51,9.53
110,sarkand,100,KZ,1640582936,82,45.41,79.9186,-1.12,0.58
111,turan,75,VN,1640582937,94,16.0678,108.2208,21.99,5.66
112,punta arenas,100,PH,1640582822,83,8.9897,125.34,26.78,1.59
113,port blair,100,CD,1640582746,77,-7.0349,29.7638,23.58,1.58
114,mount gambier,99,GB,1640582939,50,53.6597,-1.8537,5.68,1.3
115,tuatapere,95,NZ,1640582940,76,-46.1333,167.6833,14.34,3.49
116,ust-kulom,100,RU,1640582941,94,61.6864,53.6902,-16.38,3.56
117,ahuimanu,75,US,1640582942,73,21.4447,-157.8378,23.84,0.89
118,lishui,23,CN,1640582942,36,28.4604,119.9103,7.05,1.5
119,barrow,90,US,1640582943,71,71.2906,-156.7887,-20.99,7.72
120,saldanha,59,ZA,1640582944,90,-33.0117,17.9442,18.03,4.15
121,chuy,0,UY,1640582944,83,-33.6971,-53.4616,15.8,2.02
122,rongcheng,51,CN,1640582945,15,30.634,117.8517,4.35,1.62
123,kupang,75,ID,1640582946,88,-10.1667,123.5833,25.32,2.57
124,asau,100,RO,1640582947,98,46.4333,26.4,-2.36,1.08
125,atuona,85,PF,1640582947,76,-9.8,-139.0333,25.93,5.92
126,taoudenni,0,ML,1640582948,29,22.6783,-3.9836,19.19,3.15
127,sao joao da barra,96,IN,1640582850,43,20.5113,76.2129,23.03,1.63
128,ayagoz,100,KZ,1640582949,84,47.9714,80.4392,-8.92,1.93
129,kamenka,27,RU,1640582657,98,51.3223,42.7678,-15.08,3.08
130,guerrero negro,33,MX,1640582951,89,17.6667,-100.0,17.93,2.12
131,sundsvall,90,SE,1640582952,77,62.3913,17.3063,-6.13,1.03
132,contamana,100,PE,1640582952,76,-7.3333,-75.0167,26.31,1.63
133,yantzaza,100,EC,1640582953,98,-3.8278,-78.7594,19.6,0.71
134,palana,100,RU,1640582954,81,59.1167,159.9667,-13.68,8.34
135,sao miguel do araguaia,96,IN,1640582955,43,20.5113,76.2129,23.03,1.63
136,tirano,90,IT,1640582955,100,46.2154,10.1679,5.33,1.58
137,zhigansk,100,RU,1640582956,99,66.7697,123.3711,-34.31,1.86
138,kodiak,73,US,1640582957,81,57.79,-152.4072,7.8,4.99
139,tongliao,2,CN,1640582957,75,43.6125,122.2653,-12.24,2.52
140,port lincoln,100,CD,1640582804,77,-7.0349,29.7638,23.58,1.58
141,isla vista,100,PH,1640582959,75,15.8939,120.3036,24.18,4.98
142,hilo,40,US,1640582793,38,19.7297,-155.09,21.85,3.6
143,carnarvon,93,AU,1640582961,65,-24.8667,113.6333,29.04,6.17
144,mayumba,100,GA,1640582962,91,-3.432,10.6554,24.01,2.45
145,mataura,100,NZ,1640582962,57,-46.1927,168.8643,14.15,2.3
146,cabo san lucas,100,BR,1640582732,89,-8.2833,-35.0333,27.96,1.23
147,ringe,1,DK,1640582964,68,55.2451,10.4706,-1.45,6.63
148,senno,100,RU,1640582964,94,59.5336,33.9167,-11.69,3.99
149,faya,4,SA,1640582965,42,18.3851,42.4509,15.29,2.23
150,nanortalik,12,GL,1640582966,64,60.1432,-45.2371,-3.01,3.9
151,exu,100,BR,1640582967,93,-7.5119,-39.7242,21.23,1.29
152,katsuura,4,JP,1640582967,33,35.1333,140.3,7.06,1.41
153,longyearbyen,0,SJ,1640582968,57,78.2186,15.6401,-8.09,4.63
154,becerril,68,CO,1640582969,86,9.7041,-73.2793,23.85,1.83
155,sapa,96,PH,1640582970,72,5.1544,120.3241,28.17,0.32
156,sinjai,98,ID,1640582971,59,-5.1241,120.253,31.67,1.62
157,iracoubo,78,GF,1640582971,89,5.4802,-53.2011,25.04,3.96
158,bilgoraj,5,PL,1640582972,81,50.5411,22.722,-11.97,3.31
159,mazabuka,100,ZM,1640582973,79,-15.856,27.748,21.68,2.66
160,rawlins,1,US,1640582974,73,41.7911,-107.2387,-8.88,7.2
161,port elizabeth,100,CD,1640582975,77,-7.0349,29.7638,23.58,1.58
162,sitka,90,US,1640582976,74,57.0531,-135.33,-1.06,3.09
163,jambi,88,ID,1640582977,62,-1.6,103.6167,30.74,2.41
164,mitsamiouli,20,KM,1640582977,58,-11.3847,43.2844,31.16,6.17
165,oistins,20,BB,1640582761,73,13.0667,-59.5333,25.05,6.17
166,georgetown,20,MY,1640582726,72,5.4112,100.3354,32.96,4.12
167,san miguel de cauri,99,ML,1640582885,15,13.3034,-4.8956,21.75,3.79
168,ahipara,90,NZ,1640582979,65,-35.1667,173.1667,23.42,4.17
169,tahta,61,EG,1640582980,61,26.7693,31.5021,8.18,2.52
170,roald,0,NO,1640582981,80,62.5833,6.1333,1.08,5.66
171,talnakh,63,RU,1640582982,95,69.4865,88.3972,-24.21,3.98
172,kaitangata,100,NZ,1640582983,82,-46.2817,169.8464,13.85,1.48
173,waitati,100,NZ,1640582984,93,-45.75,170.5667,12.11,0.58
174,terrace bay,1,CA,1640582984,54,54.5163,-128.6035,-19.05,10.29
175,bonfim,73,BR,1640582985,72,3.0833,-59.95,26.25,3.68
176,nisia floresta,100,GR,1640582986,90,39.3942,21.6373,10.8,1.83
177,talas,75,TR,1640582987,86,38.6908,35.5538,-1.63,0.0
178,padang,51,ID,1640582988,72,-0.9492,100.3543,30.03,2.57
179,faanui,21,PF,1640582757,67,-16.4833,-151.75,27.09,3.5
180,husavik,100,IS,1640582990,91,66.0449,-17.3389,-4.05,2.57
181,xingyi,99,CN,1640582990,88,24.1877,102.817,10.37,3.16
182,sirjan,49,IR,1640582991,40,29.452,55.6814,7.82,1.03
183,mehamn,75,NO,1640582992,93,71.0357,27.8492,-2.9,2.57
184,kushima,17,JP,1640582992,43,31.4583,131.2333,8.02,5.96
185,kieta,99,PG,1640582993,76,-6.2167,155.6333,28.83,0.89
186,kantilo,58,IN,1640582994,64,20.35,85.1833,24.92,1.7
187,sao filipe,96,IN,1640582799,43,20.5113,76.2129,23.03,1.63
188,waingapu,84,ID,1640582793,64,-9.6567,120.2641,30.68,6.98
189,port hedland,100,CD,1640582975,77,-7.0349,29.7638,23.58,1.58
190,san patricio,99,ML,1640582996,15,13.3034,-4.8956,21.75,3.79
191,balabac,100,PH,1640582997,78,7.9868,117.0645,27.86,6.3
192,victoria,98,HK,1640582979,82,22.2855,114.1577,13.86,3.58
193,quzhou,19,CN,1640582998,41,28.9594,118.8686,5.28,1.95
194,touros,99,BR,1640582999,83,-5.1989,-35.4608,25.5,3.28
195,olafsvik,67,IS,1640582999,72,64.8945,-23.7142,0.56,9.83
196,norman wells,1,US,1640583000,75,35.2226,-97.4395,21.59,5.66
197,weligama,0,LK,1640583001,47,5.9667,80.4167,29.36,3.98
198,provideniya,69,RU,1640583002,86,64.3833,-173.3,-19.49,3.26
199,mahebourg,75,MU,1640583002,100,-20.4081,57.7,29.03,2.06
200,mbandaka,100,CD,1640583004,82,0.0487,18.2603,23.22,1.54
201,merauke,90,ID,1640582705,62,-8.4667,140.3333,31.95,3.75
202,itoman,75,JP,1640583005,59,26.1247,127.6694,16.01,8.23
203,jennings,90,US,1640582848,94,38.7192,-90.2604,16.88,0.89
204,athabasca,99,CA,1640582794,98,54.7169,-113.2854,-27.1,2.07
205,oranjemund,29,NA,1640583007,70,-28.55,16.4333,19.71,4.97
206,vostok,100,RU,1640583008,90,46.4856,135.8833,-23.13,2.41
207,lagoa,45,PT,1640583009,82,39.05,-27.9833,17.31,17.38
208,roma,75,US,1640583010,74,43.2128,-75.4557,-0.75,4.63
209,havre,90,FR,1640583010,100,49.5833,0.3333,9.24,4.12
210,lewistown,1,US,1640583011,90,40.5992,-77.5714,2.83,0.0
211,moerai,87,PF,1640583012,64,-22.4333,-151.3333,25.02,7.24
212,rafsanjan,0,IR,1640583013,36,30.4067,55.9939,7.45,0.79
213,collierville,1,US,1640582725,81,35.042,-89.6645,20.05,6.17
214,stuttgart,75,DE,1640583015,78,48.7823,9.177,7.55,0.51
215,westport,1,US,1640583016,70,41.1415,-73.3579,4.99,0.89
216,kahului,40,US,1640583016,70,20.8947,-156.47,23.01,5.66
217,labuhan,79,ID,1640582814,63,-6.8844,112.2051,30.97,3.29
218,ibra,6,OM,1640583018,43,22.6906,58.5334,24.08,2.09
219,waipawa,97,NZ,1640583018,57,-41.4122,175.5153,20.35,6.1
220,ronne,3,DK,1640583021,59,55.1009,14.7066,-1.05,6.17
221,tautira,85,PF,1640583021,68,-17.7333,-149.15,27.01,2.88
222,nikolskoye,98,RU,1640583022,93,59.7035,30.7861,-9.06,3.16
223,cuiluan,100,CN,1640583023,72,47.72,128.648,-18.82,2.95
224,sinjar,31,IQ,1640583024,35,36.3209,41.8754,6.08,1.15
225,araouane,93,ML,1640583025,21,18.9048,-3.5265,16.88,4.44
226,river falls,0,LK,1640583026,41,6.7613,80.791,21.06,1.6
227,sarangani,95,PH,1640583026,73,5.4033,125.4636,28.3,6.88
228,haines junction,100,US,1640583027,87,59.2286,-135.4441,-9.18,3.34
229,mocuba,83,MZ,1640583028,57,-16.8392,36.9856,29.97,2.51
230,lazaro cardenas,68,DO,1640583028,89,19.4558,-71.3261,20.01,0.68
231,saint-joseph,55,RE,1640582771,83,-21.3667,55.6167,27.2,5.84
232,palmer,75,US,1640583031,64,42.1584,-72.3287,2.24,0.89
233,buturlinovka,38,RU,1640583031,98,50.8239,40.6092,-15.01,2.19
234,awjilah,100,LY,1640583032,60,29.1081,21.2869,11.65,3.4
235,hithadhoo,7,MV,1640583033,67,-0.6,73.0833,27.83,5.35
236,menongue,100,AO,1640583034,84,-14.6585,17.691,18.88,1.86
237,salta,0,AR,1640583034,74,-24.7859,-65.4117,23.16,0.89
238,moron,21,AR,1640583035,81,-34.6534,-58.6198,23.88,0.89
239,richards bay,90,US,1640583036,86,46.8361,-95.9123,-3.93,11.83
240,cuamba,13,MZ,1640583037,57,-14.8031,36.5372,28.54,1.94
241,alice springs,1,US,1640583038,94,27.7523,-98.0697,21.84,4.63
242,puerto escondido,75,ES,1640583039,98,36.5939,-6.233,17.36,3.6
243,belyy yar,99,RU,1640583040,95,55.8402,32.9419,-11.52,3.3
244,rapar,49,IN,1640583040,55,23.5667,70.6333,24.64,2.44
245,tiksi,100,RU,1640583041,98,71.6872,128.8694,-23.31,1.72
246,mosquera,75,CO,1640582916,94,4.7059,-74.2302,13.05,2.06
247,machaneng,100,BW,1640583043,92,-23.1862,27.4886,20.44,4.51
248,cherskiy,100,RU,1640583044,98,68.75,161.3,-32.43,3.83
249,bandarbeyla,71,SO,1640583044,70,9.4942,50.8122,25.19,7.17
250,tuktoyaktuk,90,CA,1640583045,85,69.4541,-133.0374,-17.0,10.8
251,ouadda,98,CF,1640583046,23,8.0777,22.4007,23.57,1.96
252,penzance,100,GB,1640583047,86,50.1186,-5.5371,10.98,10.5
253,praya,0,CV,1640583048,60,14.9215,-23.5087,22.3,5.66
254,radhanpur,42,IN,1640583050,48,23.8333,71.6,24.61,0.86
255,maceio,75,BR,1640583051,94,-9.6658,-35.7353,24.69,2.06
256,kuching,40,MY,1640583052,70,1.55,110.3333,31.12,1.03
257,bucerias,1,MX,1640582883,88,20.75,-105.3333,21.66,1.03
258,tambura,63,SS,1640583053,45,5.6,27.4667,26.67,1.85
259,vardo,100,NO,1640583054,77,70.3705,31.1107,-3.78,8.03
260,bambous virieux,40,MU,1640583054,69,-20.2567,57.4061,28.41,1.73
261,upernavik,100,GL,1640583055,97,72.7868,-56.1549,-22.29,5.82
262,port augusta,96,CD,1640583056,76,-7.0349,29.7638,24.61,2.86
263,ust-tsilma,100,RU,1640583057,93,65.441,52.1498,-13.54,3.31
264,taltal,73,CL,1640583020,82,-25.4,-70.4833,18.63,0.53
265,bell ville,78,US,1640583058,94,31.0502,-97.4669,20.51,5.9
266,dunmore east,20,US,1640583059,67,41.4198,-75.6324,1.89,2.68
267,lalibela,47,ET,1640583060,37,12.0333,39.0333,18.13,0.1
268,colac,22,AU,1640583061,55,-38.3333,143.5833,19.23,6.02
269,deputatskiy,100,RU,1640583062,97,69.3,139.9,-32.91,2.37
270,half moon bay,58,LR,1640583063,92,6.3807,-10.6953,24.91,1.71
271,chute-aux-outardes,1,CA,1640583064,74,49.1168,-68.399,-4.01,6.17
272,ola,100,RU,1640583064,79,59.5833,151.2833,-22.07,6.45
273,trincomalee,77,LK,1640583065,61,8.5711,81.2335,27.69,4.62
274,berlevag,100,NO,1640582712,77,70.8578,29.0864,-6.0,6.1
275,eureka,100,US,1640583068,92,40.8021,-124.1637,7.34,3.13
276,lerwick,100,GB,1640583068,81,60.1545,-1.1494,5.0,12.42
277,champoton,0,MX,1640583069,73,19.35,-90.7167,20.38,2.49
